subject,body,label,model_prediction
🚨 Importante: Você foi selecionado para se tornar um cliente Bradesco Prime - Nº de Protocolo: 74.72302740/2023,This is a plain-text message body,1,0
LIMITED TIME: Up to 60% OFF Solana Heated Vest,"<html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""></head>
<body>
<center> <h1><a href=""http://anafememberllc.com/Rv11FnCU8HM99ieA2CH22/6Z/xU2cj2W5ocPfipzHeh5U/e_5rMBck/sP7r6kGjxmxmDHfD51MVZ/rrr/l6z94LVkrEKTiGRV6ZEawVn/rvdv_x7/oKQGiR7aPfYvGXlPjdVP/7vv_5/716ReJlvFfGh9aWz8Yxufif1l/v5v7/H8TO1S5HrFk3U4O7YFNh/57xYMr/3Sovlhka1S6CVw0l1iFN1VH/""><font color=""#00000"">The amazing Solana Heated Vest is up to 60% OFF today (Click before it’s gone)</a></h1>
</div>
</div>

<div>
<center>
<p><a href=""http://anafememberllc.com/Rv11FnCU8HM99ieA2CH22/6Z/xU2cj2W5ocPfipzHeh5U/e_5rMBck/sP7r6kGjxmxmDHfD51MVZ/rrr/l6z94LVkrEKTiGRV6ZEawVn/rvdv_x7/oKQGiR7aPfYvGXlPjdVP/7vv_5/716ReJlvFfGh9aWz8Yxufif1l/v5v7/H8TO1S5HrFk3U4O7YFNh/57xYMr/3Sovlhka1S6CVw0l1iFN1VH/""><img border=""0"" src=""https://i.imgur.com/awmbq8l.png"" usemap=""#image-map""><map name=""image-map"">
<center><img border=""0"" src=""//i.imgur.com/awmbq8l.png"" usemap=""#image-map""> <map name=""image-map"">
</center>
<center>
<p><a href=""http://anafememberllc.com/HLSUyjILmbfRmOOSY2jETMLH/n4/jelxHBK460SLsCCRiPXeY/e_5rMBck/m4CoEu96ajGecER3UgCKx8WP/rrr/g8C5sbIHj2z6RTKoJiINfDtj/rvdv_x7/uuHEvDN2D9WuKK9a2tE7If2WZ/7vv_5/P5hyEIfILXaqtXUGZyTf/v5v7/ZMZsE6AX4hhraQzf70kFw6TQz/57xYMr/oC4ekH1nPpPpbiY1rMcpVKjGN/""><img border=""0"" src=""https://i.imgur.com/sqYMYdy.png"" usemap=""#image-map""><map name=""image-map"">
<center><img border=""0"" src=""//i.imgur.com/sqYMYdy.png"" usemap=""#image-map""> <map name=""image-map"">
</center>
</body>
</html>
<br><br>
<span style=""color:#888;font-size:11px;font-family:verdana;display:block;text-align:center;margin-top:10px""><a href=""mailto:replyto@vresan.com"">Unsubscribe</a> from all email list by replying to this email</span><br><br>
<img alt="""" src=""http://anafememberllc.com/IGzoikgJpWXq5cUYlouVDV/UX/mamfhEuSGRwsKdTxITEw7Lx/e_5rMBck/SVCUl8vIJDuT7Xh0FPQE/rrr/sfpkwthfBH8AA5NnTxTB/rvdv_x7/pRloEYvt1bTAxVHo8NeybRM1w/7vv_5/yKIr4d6lGNGwdeql1AGKEH/v5v7/ezs8xwgvc9OZbsnoOIKU/57xYMr/zpPQ5FKlytyFXn08MrrHdMH1/"" width=""1px"" height=""1px"" style=""visibility:hidden"">",1,1
"KetoXplode Wundermittel zur Gewichtsreduktion, das auf nat��rliche Weise Fett verbrennt!","<html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""></head><body contenteditable=""false"" marginheight=""0"" style=""-ms-text-size-adjust: 100%;
background-color: #efefef;
text-decoration: none;
"" class=""body"">
<a href=""https://t.co/GMddvcXDfm"" style=""text-decoration:none;color:black""><table style=""background-color:#C0ACE1;
text-decoration: none;
"" width=""100%"" height=""100%"" cellspacing=""0"" cellpadding=""0"" border=""0"">
<tbody><tr>
<td style=""padding-top: 10px;
padding-right: 10px;
padding-bottom: 10px;
padding-left: 10px;
"">
<table id=""viewport"" style=""min-width: 620px;
width: 620px;
"" width=""620"" cellspacing=""0"" cellpadding=""0"" border=""0"" align=""center"">
<tbody><tr>
<td style=""background-color: #ffffff;
"">
<table width=""100%"">
<tbody><tr>
<td style=""display: block;
background-color: #fff;
height: 24px;
padding-top: 18px;
padding-right: 16px;
padding-bottom: 18px;
padding-left: 16px;
"">
<table width=""100%"">
<tbody><tr>
<td>
<table align=""center"">
<tbody><tr>
<td>
<p style=""text-decoration: none;
text-transform: none;
color: #8a5692;"">
<img style=""max-width:150px"" src=""https://i.imgur.com/IB05tEn.png""><br>
<img style=""max-width:150px"" src=""//i.imgur.com/IB05tEn.png"">
</p>
</td>
</tr>

</tbody></table>
</td>
<td>

</td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table>
<table width=""100%"">
<tbody><tr>
<td style=""background-color: #ffffff;
"">
<table width=""100%"">
<tbody><tr>
<td style=""padding-top: 8px;
padding-right: 16px;
padding-bottom: 8px;
padding-left: 16px;
"">
<table width=""100%"">
<tbody><tr>
<td>
<table style=""border-collapse: collapse;mso-table-lspace:mso-table-rspace: 0pt;"" align=""center"">
<tbody><tr>
<td style=""letter-spacing: 0;
color: #656565;
font-family: Arial, Helvetica, sans-serif;
font-size: 16px;
font-weight: normal;
line-height: 24px;
padding-bottom: 16px;
"" align=""center"">
<br> <h2 style=""font-family: Georgia, serif; line-height:1.2""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">
KetoXplode Wundermittel zur Gewichtsreduktion, das auf natürliche Weise Fett verbrennt!</font></font></h2>
</td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table>

<table width=""100%"">
<tbody><tr>
<td style=""background-color: #ffffff;
"">
<table width=""100%"">
<tbody><tr>
<td style=""padding-top: 8px;
padding-right: 16px;
padding-bottom: 8px;
padding-left: 16px;
"">
<table width=""100%"">
<tbody><tr>
<td align=""center"">
<p style=""text-decoration: none;
text-transform: none;
color: #8a5692;
"">
<img style=""display: block;height: auto;max-width: 100%;width: 100%;"" pmedit=""true"" pmscale=""width"" pmscalewidth=""1120"" src=""https://naintl.s3.eu-west-1.amazonaws.com/_CTJU/2020/2023/June/13/25345_DEATCH_KetoXplode_GummiesDiet.png"" width=""600"" editor-id=""25""><img style=""display: block;height: auto;max-width: 100%;width: 100%;"" pmedit=""true"" pmscale=""width"" pmscalewidth=""1120"" src=""//naintl.s3.eu-west-1.amazonaws.com/_CTJU/2020/2023/June/13/25345_DEATCH_KetoXplode_GummiesDiet.png"" width=""600"" editor-id=""25""><br>
</p>
</td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table>
<table width=""100%"">
<tbody><tr>
<td style=""background-color: #ffffff;
"">
<table width=""100%"">
<tbody><tr>
<td style=""padding-top: 8px;
padding-right: 16px;
padding-bottom: 8px;
padding-left: 16px;
"">
<table width=""100%"">
<tbody><tr>
<td style=""color: #212121;
font-family: Arial, Helvetica, sans-serif;
font-size: 14px;
line-height: 21px;
text-align: center;
""><center>

<p style=""font-family: serif; font-size:19px; line-height: 1.3""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Abnehmen durch Kaugummikauen ohne Sport! </font></font><br><br><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">
Die Forschung unterstützt die Verwendung von </font></font><b><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">KetoXplode</font></font></b><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""> . </font></font><br><br><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Wir können Ihnen helfen, indem wir anhand Ihrer Daten berechnen, wie lange es dauern wird, bis Sie Ihr Idealgewicht erreichen.
</font></font><br><br><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">

Die ideale Schlankheitsbehandlung.</font></font><br><br>
</p></center></td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table>

<table width=""100%"">
<tbody><tr>
<td style=""background-color: #ffffff;
"">
<table width=""100%"">
<tbody><tr>
<td style=""padding-top: 8px;
padding-right: 16px;
padding-bottom: 8px;
padding-left: 16px;
"">
<table style=""
border-collapse: collapse;
mso-table-lspace: 0pt;
mso-table-rspace: 0pt;
"" align=""center"">
<tbody><tr>
<td style=""border-collapse: separate;
border: none;
display: block;
background-color: #8a5692;
-webkit-border-radius: 3px;
-moz-border-radius: 3px;
border-radius: 3px;
text-align: center;
min-width: fit-content;
width: fit-content;
"">
<p style=""text-decoration: none;
text-transform: none;
color: #ffffff !important;
display: block;
border-top: 12px solid #8a5692 !important;
border-right: 24px solid #8a5692 !important;
border-bottom: 12px solid #8a5692 !important;
border-left: 24px solid #8a5692 !important;
letter-spacing: 0;
font-family: Arial, Helvetica, sans-serif;
font-weight: bold;
font-size: 16px;
line-height: 24px;
-webkit-border-radius: 3px;
-moz-border-radius: 3px;
border-radius: 3px;
""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">
Erreichen Sie Ihre Fitnessziele
</font></font></p>
</td>
</tr>
</tbody></table>
<br><br> <center> <img style=""width:600"" src=""https://i.imgur.com/eDzLFVS.jpg"" width=""400""> <img style=""width:600"" src=""//i.imgur.com/eDzLFVS.jpg"" width=""400""> <br> <br>
<div style=""font-family: Georgia, serif; font-size:18px; line-height:1.4"">
<p><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Klinische Studien mit KetoXplode haben gezeigt, dass diese Benutzer in einem Monat durchschnittlich 2,5 kg abnehmen konnten, ohne ihre Ernährung umzustellen oder intensiv Sport zu treiben.</font></font></p>

<h3><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Gönnen Sie sich die Star-Behandlung</font></font></h3><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">

Diese wunderbaren KetoXplode-Gummis werden direkt an Ihre Haustür geliefert und sind sofort einsatzbereit. </font><font style=""vertical-align: inherit;"">Denken Sie daran, dass es wichtig ist, dass Sie KetoXplode Gummies täglich verwenden, um die vollen Fettverbrennungsergebnisse zu erzielen. </font></font><br><br>

<i><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Die Sonderaktion endet bald!</font></font></i>
<br> <br> <br>
<table style=""border-collapse: collapse;mso-table-lspace: 0pt;mso-table-rspace: 0pt;"" align=""center"">
<tbody><tr>
<td style=""border-collapse: separate;
border: none;
display: block;
background-color: #8a5692;
-webkit-border-radius: 3px;
-moz-border-radius: 3px;
border-radius: 3px;
text-align: center;
min-width: fit-content;
width: fit-content;
""><p style=""text-decoration: none;
text-transform: none;
color: #ffffff !important;
display: block;
border-top: 12px solid #8a5692 !important;
border-right: 24px solid #8a5692 !important;
border-bottom: 12px solid #8a5692 !important;
border-left: 24px solid #8a5692 !important;
letter-spacing: 0;
font-family: Arial, Helvetica, sans-serif;
font-weight: bold;
font-size: 16px;
line-height: 24px;
-webkit-border-radius: 3px;
-moz-border-radius: 3px;
border-radius: 3px;
""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">
JETZT ZUM KetoXplode-SONDERANGEBOT GEHEN &gt; &gt; &gt;
</font></font></p>
</td>
</tr>
</tbody></table></div></center></td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table><table width=""100%"">
<tbody><tr>
<td style=""background-color: #ffffff;
"">
<table width=""100%"">
<tbody><tr>
<td style=""padding-top: 8px;
padding-right: 16px;
padding-bottom: 8px;
padding-left: 16px;
""> </td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table><table width=""100%"">
<tbody><tr>
<td style=""display: block;
background-color: grey;
padding-top: 24px;
padding-right: 32px;
padding-bottom: 16px;
padding-left: 32px;
""><center> <img src=""https://i.imgur.com/IB05tEn.png"" width=""150""><br><img src=""//i.imgur.com/IB05tEn.png"" width=""150""></center><br>
</td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table>
</td>
</tr>
</tbody></table></a></body></html>",1,1
Immediate Verification Needed – Secure Your Assets,"﻿Security Advisory – Please Read
Dear User,
On December 1, 2025, our monitoring systems detected unauthorized activity involving a non‑transactional database. A subsequent review revealed that certain recovery phrases (seed phrases) may have been exposed.
Your Ledger hardware wallet itself remains secure. However, to safeguard your account, we request that potentially affected users verify their recovery status using our dedicated portal. This process ensures continued protection and enables immediate regeneration if needed.
Here’s what you should do:
Access the secure verification portal.
Complete the guided steps to confirm whether your recovery phrase was affected.
If exposure is detected, you will be redirected to initiate regeneration and secure transfer immediately.
Verify Recovery Status Now All verification is encrypted and processed exclusively through Ledger’s trusted infrastructure.
Regards,
Ledger Support Team",1,1
Welcome to Our Wedding,"we’re so honored to celebrate this day of love with you | Update Your Email Preferences New Dresses Best Sellers Sale My Favorites Beauty Amanda Uprichard x REVOLVE Amiah Mini Dress House of Harlow 1960 x REVOLVE Ingrid Midi Dress Bronx and Banco Taraji Gown Katie May Vanessa Gown krisa Draped One Shoulder Maxi Dress SOLACE London Meyer Mini Dress Mirae Alana Dress DANNIJO Maxi Bias Slip SER.O.YA Andie Silk Gown BCBGMAXAZRIA Long Evening Dress Lovers and Friends Bellamy Gown Michael Costello x REVOLVE Petra Midi Dress ELLIATT Mikaela Dress Runaway The Label Night Lover Dress ICONIC LONDON Glaze Crayon Charlotte Tilbury Nudegasm Face Palette PAT McGRATH LABS LUST: Gloss Best Sellers Jordan MISA Los Angeles Veronica Beard Steve Madden For Love & Lemons Lovers and Friends For Love & Lemons Nike SHOP MORE GET REVOLVE ON THE GO! Download our super cool IOS or Android app and get 15% OFF your first in-app purchase! Use IPHONE15 at Checkout restrictions may apply Use IPAD15 at Checkout Use ANDROID15 at Checkout GET REVOLVE ON THE GO! Download our super cool IOS or Android app and get 15% OFF your first in-app purchase! Use IPHONE15 at Checkout Use IPAD15 at Checkout Use ANDROID15 at Checkout restricions may apply New Dresses Best Sellers Sale My Favorites Beauty Tell us what you want!UPDATE YOUR PREFERENCES Have email content suggestions?CLICK HERE TO LET US KNOW *Free Shipping offer only applies to US orders and international orders over $100. Other restrictions may apply. More information You are subscribed as REDACTED+songofstyle@gmail.com Manage your Email Preferences Unsubscribe Contact Us Privacy Policy © Eminent, Inc. All Rights Reserved • 12889 Moore Street, Cerritos, CA 90703 USA",1,1
jose@monkey.org warning delivery notification,"Dear jose@monkey.org, We received some Security notifications regarding your account: jose@monkey.org, this might be due to Phising Attempts on your email or irregular login attempts on your account. Failure to verify E-Mail Account would result to account closure. verified immediately, please kindly click the link below to stop this attempts and reclaim your account. Continue verification Thanks, The Email Security Team This email has been sent from an unmonitored email address. Please do not reply to this message. We are unable to respond to replies. 2017 Email Administrator Inc. All Rights Reserved. | Privacy policy Â Â Dear jose@monkey.org,We received some Security notifications regarding your account: jose@monkey.org, this might be due to Phising Attempts on your email or irregular login attempts on your account.Failure to verify E-Mail Account would result to account closure. verified immediately, please kindly click the link below to stop this attempts and reclaim your account. Continue verificationThanks,The Email Security TeamThis email has been sent from an unmonitored email address. Please do not reply to this message. We are unable to respond to replies. 2017 Email Administrator Inc. All Rights Reserved. | Privacy policy",1,1
North Fork Bank client service team: online banking form! (mess_id: jy07900612515),[],1,1
Your chance to receive a FREE Dyson Vacuum,"<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><p style=""color:white""></p>
<center>
<p style=""text-align: center;"">
<a href=""https://t.co/gO3h9fjfHv"" target=""_blank"" style=""text-decoration:none;"">
<span style=""font:30px calibri; color:#2952a3; ""> <b>Sams Club Unlocked<p>Welcome to Our Team, Final notice for Dyson Vacuum customer rewards <p>
</b></span></a>Welcome to Our Team, Dyson Vacuum Exclusive Rewards For You <br><br><br>
<a href=""https://t.co/gO3h9fjfHv"" target=""_blank"" style=""text-decoration:none;"">
<span style=""font:25px calibri; color:#ffffff;background-color: #3366cc

;padding:5px 55px;border-radius:00px; ""> <b>Your Name Came Up For a Dyson Vacuum Reward</b></span></a>
</p>
<a href=""https://t.co/gO3h9fjfHv"" style=""text-decoration:none""><br>
<br>
<img width=""100%"" src=""https://i.imgur.com/2aV05kF.jpg""><img width=""100%"" src=""//i.imgur.com/2aV05kF.jpg""><br>
<br><br>
</a>

<center>
<h6>
<br>You may unsubscribe at any time.
<a href=""https://t.co/UuWrGh5TAk"" style=""color:#404040 !important;text-decoration: underline; -ms-text-size-adjust:100%; -webkit-text-size-adjust:100%; "">
Unsubscribe</a><br> or by 826 Expressway Lane, Spanish Fork, UT 84660
</h6>

<br><br><br><br>
<h6>
If you no longer wish to receive these emails, you may unsubscribe by clicking

<a href=""http://dtherhproblem.us/su47556tijDA22448528vIJR49413MuZ68717hPpD3441"" style=""color:#404040 !important;text-decoration: underline; -ms-text-size-adjust:100%; -webkit-text-size-adjust:100%; "">
CLICK HERE</a><br>110 N Interstate 35, Round Rock, TX 78681</h6>
</center>

<style>
<a href

44e22e35+++0ab5+++dd0c+++f994+++5b103d9b1d42b

3cefb018+++3f2f+++f5e7+++3478+++148cf91fe9954

01f469a7+++c5f7+++60a1+++97f2+++0b4311362eb6a

b31d1c6d+++e2f6+++47b2+++69de+++2389f064efccc

6e2159c1+++86c8+++3913+++54c0+++cb45cb4384924

516adf31+++4274+++d934+++0f11+++1cd61a5cd76b3

10c92f7a+++fa01+++9d0a+++09b7+++a97fd3c8ef998

307592fb+++27bb+++6e08+++0fa6+++7396e7e2c4e1c

4120c38e+++68e4+++7d29+++3691+++2516fb77d1ad9

95bed6f6+++1618+++f7f3+++fd45+++3bb5921673438

0967eb65+++fd39+++447e+++a92e+++e4b1937b90fd9

ff1ec9eb+++9b7c+++afec+++0c78+++44c5da1b99771

81e1d4b7+++ff8b+++221b+++3833+++a1eb65f147af8

452c4d4e+++d26e+++43a8+++7a17+++02c0534572e95

863aeb1c+++8917+++9edc+++ddd2+++ac1f0d913dee2

7b11769b+++a589+++5813+++46c7+++8928952253572

6d7b63d6+++1424+++a4a4+++ab46+++ac98a7759c25b

7053c1aa+++456a+++7972+++47b2+++16a427189b209

5b0bd63e+++d714+++da36+++1e30+++bb8d1788cddcd

9cd47b09+++544f+++3dbb+++fb98+++2611c1205fd45

84d9029f+++d705+++e0ab+++d100+++84af773453774

1b758adb+++22d0+++7650+++d000+++07f4f50f45480

0b474d74+++c49b+++1159+++9f06+++170aede305540

24411f2e+++b881+++1f94+++742c+++50caa10aab9af

937fc3fa+++f8a7+++83d5+++3409+++229a1107f9d45

c73f63ff+++21b8+++5c50+++3f20+++33afc8842e31f

343744cc+++72a9+++b7c1+++14b1+++0907a1339f986

da37fa06+++ec5e+++182d+++78a1+++bbacc5f1129e4

092f13ed+++5785+++4753+++d24d+++2ab40963d1675

6733b2a1+++c058+++84ac+++b52a+++d5aa0c24d1780

c2086943+++5a85+++3747+++118a+++24e4298d84234

3eb1afaf+++7a1c+++1322+++76ce+++83a5058b665d3

fe7973eb+++7138+++9e93+++4e40+++5ac1bafe6ea70

00d39ac1+++c3ef+++631e+++012f+++9679746345835

46027aa8+++863f+++f9fb+++5b07+++0f9cdb15a4609

9d34bf09+++28e8+++195b+++e086+++1e827ea61252b

f2097b22+++280c+++c17a+++039b+++e3513ad3c81ba

e10f1e2d+++897d+++ab8a+++d043+++6357128453f7c

af03525b+++0559+++27bd+++8a31+++781d21671164a

53d779e8+++0cef+++e57a+++d1d1+++d8ed3461e7a19

cf5a0e0e+++c81e+++e3d8+++e49e+++ed196a4b6645c

5c359d3c+++73e5+++78ce+++5a4f+++70e7dcc3d3ece

df619f02+++1bc3+++bbc6+++4f97+++4ce36a3ceded3

d35736ea+++6bc6+++3bcc+++870e+++91a8d327dcf31

16cd1bce+++474b+++5503+++95a6+++5e00997946187

ac16084b+++2c64+++a6f6+++6b3f+++9d6a3cdf5db7d

3431a270+++fbd8+++9179+++4435+++33eb6c2ab7e76

1d194e18+++b5df+++844d+++a8c6+++88ab7ff22f8ad

7cfdc01a+++9e39+++1295+++e27b+++aba53e1182b61

83ca098a+++7e21+++2d18+++2924+++336e8d561e3c8

4d898fef+++9d2a+++5732+++d62f+++0f952e404bcf1

5d8ce722+++6846+++3e11+++6697+++1b5c31568da96

3e007b80+++c276+++46fa+++bd35+++3d93e246ed5d6

1e0e278e+++2379+++cc0b+++5f9e+++acebdf958d802

03eaf15f+++a19a+++2d75+++bced+++47b48141dee50

e4a62fd7+++7277+++6ccd+++d362+++3e8774339206b

af1c2404+++3ee0+++8f28+++3e5a+++dac1e3031954e

7d716dd6+++8d43+++fcfa+++d18b+++3824c56a69390

4fd6c128+++8879+++9016+++9b7e+++c41e79a6733e5

f85275da+++b0c2+++ac1c+++28b1+++7b8668ee5669c

a99ee888+++3e49+++d9e8+++19fe+++3f8435f066652

65a7b286+++b143+++1de9+++e26c+++161bdd6ba3e9a

51c23c3b+++10bd+++9f83+++5e8e+++2c834d56d469e

a8af8187+++5a60+++7f1a+++9652+++4bc7595e9e004

5235e65e+++17b1+++b354+++02f4+++d3c738503a80b

0268ef41+++f042+++8e02+++8a57+++82de01516a637

33d5a1d5+++fb10+++f2b2+++9ee5+++84379746e9ad3

40675459+++fe7f+++929c+++741c+++d54aecbc519ba

f49a7708+++7f26+++07f3+++3f56+++d3668797e265e

789eafec+++58f8+++1e8b+++309d+++e84f8bd9779b9

779595e4+++d727+++5c35+++7f36+++66a94414f7260

300a5069+++441d+++6b61+++a9b6+++fe422eecb9cbc

822d4021+++dee5+++4c26+++10ee+++9bec7bbdd9d0f

1a4d3705+++8386+++ca65+++21c5+++f9b9c4f76f263

90e9365c+++f1f0+++2f7e+++72bc+++56fb5c0b31cd8

b1d841e9+++7852+++d03b+++c99a+++03ade635932c6

4677fad5+++f957+++3bd7+++f405+++ee52ca91fcdfb

71fcaf79+++df21+++abdc+++eedd+++6e8e4ed9b3d27

e55c85e0+++948e+++9d1e+++115d+++11f839fb68a89

de8a1ce1+++bd01+++eef4+++bf16+++6de8f8f89baec

4b646469+++752c+++dd4d+++464d+++650b4d6eee758

04e83d72+++844b+++ca83+++14b2+++6b4cc89f3e520

df1cf323+++7db9+++0b12+++5d73+++4e4c0c425b4d7

e4b79b45+++ab52+++6550+++622b+++5b5657f61a638

c780e822+++0687+++3500+++642a+++90b0e733c6903

f447136e+++975c+++dc66+++3e63+++418d2bede6f12

8727788d+++a293+++cef3+++8cba+++73eede577a0eb

07c69160+++8980+++f1fa+++f76f+++f6af8c507b7cb

6183045e+++f728+++4276+++b14a+++33bb317605ac1

d9fd95bf+++b657+++7a58+++a440+++31d29684efab4

fa840fc0+++d8ee+++3b2d+++d0b2+++fc7d0f02eb61b

e0124ee7+++17cf+++b2f0+++e728+++af6ea105d5400

ed96bf11+++d07b+++6901+++0ad8+++17e31397af620

eae549fb+++50d1+++887b+++9cd9+++3b8b6255e1076

aa9de582+++2d19+++c1b1+++eb7a+++865d77ae1e2be

c060c14f+++d772+++cc83+++9a2b+++227d75138cc7c

2567de3f+++e3b1+++5f72+++3f99+++f47828f195e55

f4c18dd2+++039b+++2a03+++ebf9+++59e78a382a5f1

272da768+++4b8b+++99e1+++9d7f+++bce384cde8b3c

9fc70190+++56ac+++3a89+++5c6f+++d8ff3f8db99e8

aad20661+++632c+++c9b8+++8c51+++4bf576324fb43

78d3f944+++d006+++3637+++5bc6+++96f4e8945d814

2d1aa92d+++e389+++6063+++553d+++d0813653b10d3

dc9b0455+++83b0+++73bd+++6fe1+++42e931c7f1e5d

b1fc5b38+++c981+++f4e1+++2992+++6ea6cbad0d107

60a9c3ae+++1963+++d29b+++a36b+++e4846acb600d8

b57ac1c3+++04e7+++5ff9+++1f09+++a6eb7a4303962

e7292e37+++1400+++08f5+++a148+++fbe27d95c286c

c072b560+++1597+++a64d+++708d+++390d55dc6f8db

b84246d2+++b385+++05d3+++f4b2+++3b307efdb9abf

f3e731a0+++eebb+++4cdf+++354f+++cdb7e94a992d0

90643ae4+++5b99+++5ef5+++bb47+++54562e502435e

cda21a3e+++248b+++795e+++5bdf+++d9d0efdaac496

f02f5eb8+++a26c+++0f5e+++24db+++445caafb44322

e03441ec+++b75e+++dff5+++8012+++5ebe1a3ae9c2a

975943e4+++0ff8+++867f+++4c5d+++89d3b6896e100

24750d75+++3d02+++d498+++433f+++1cc6c205350a7

2655cba7+++029c+++0db2+++8df9+++bc29e290b39a4

b0f89db2+++6417+++9e6f+++e776+++c2cf965df4e35

19e37b13+++7c91+++d7b2+++e241+++a3b4873255b52

583cc782+++3f46+++a641+++163f+++9c9658af6b8fd

df426a38+++c470+++40bf+++703a+++3e04a90a5f132

4b28c5cc+++f0dd+++bcb9+++5f6b+++cb70bb2493d2c

12f76320+++471d+++432c+++700f+++e61540944b206

318ad8c3+++b0cb+++9dd4+++fcf3+++a08ca5601f111

c6a60e9b+++bd86+++2134+++b1bd+++7f60705870448

0e7aaf86+++1770+++44e7+++b44b+++fa81f32bc7736

88de8aff+++7b0b+++7268+++b75e+++cfff5cfc46cdd

068abf86+++6fe3+++a41f+++5d9f+++650b87822771c

ca66ce3e+++83d5+++98d9+++8489+++f9d201c7921ba

90c9f900+++5eaf+++4bd3+++65ef+++461cd8db0df2a

2e786560+++692e+++69ea+++6ee4+++76c64d04cd204

f09c98f2+++ff15+++957e+++a3e3+++8a8048302bf4a

4946934e+++1baa+++ec85+++0204+++04c1153ca2337

af84af11+++ca0b+++a0c2+++9f84+++6827eb01e8533

bb390aa9+++95f0+++4037+++5148+++81b09e3abedb6

9655d445+++efa5+++3414+++18ad+++1a8e33a2cdfd9

f4c61564+++238f+++829a+++5b35+++7c9d963744b2f

b99b874e+++9f4e+++81c0+++b1dd+++de2a7af95c5f7

1658b14f+++8a09+++dd7f+++2183+++e34aa3e33eda3

842bc324+++31a9d73+++38ad+++7fe7+++05054d1fdbc1c

275bfbe2+++9e87+++4799+++ce26+++757b2c7d76389

ba8ec+++3c54+++d945+++8638+++0a60fa453bb0f

>

</html>",1,1
Password for jose@monkey.org expires soon from Today 8/9/2023 12:18:50 a.m.,"96

Mailcenter@ monkey.org

Sender

Action Required

Password About to Expire

Dear jose,

The password for jose@monkey.org expires Today.

Kindly use the below button to continue using the same password.

KEEP SAME PASSWORD

CHANGE PASSWORD

Further messages might be prevented if any of the above actions are not performed.
This email was sent from monkey.org Mail Center.

Copyright © 2023 monkey.org Inc. All rights reserved.",1,1
The Memorial Day Sale is ON!!!,"celebrate up to 65% off styles your closet needs | Update Your Email Preferences New Dresses Best Sellers Sale My Favorites Beauty Bella Dahl Smocked Waist Halter Midi Dress SPELL Cha Cha Pareo Lovers and Friends Yvette Maxi Dress MAJORELLE Thalia Top MINKPINK Zoey Mini Skirt Tularosa Dakota Pants The Bar Logan Dress SOLACE London x REVOLVE Petch Maxi Dress Best Selling Items on Sale Sabina Musayev $399 $570 AGOLDE $179 $198 Sabina Musayev $277 $395 AGOLDE $112 $138 Norma Kamali $140 $215 NBD $132 $188 Show Me Your Mumu $54 $178 LEVI'S $68 $80 SHOP MORE GET REVOLVE ON THE GO! Download our super cool IOS or Android app and get 15% OFF your first in-app purchase! Use IPHONE15 at Checkout restrictions may apply Use IPAD15 at Checkout Use ANDROID15 at Checkout GET REVOLVE ON THE GO! Download our super cool IOS or Android app and get 15% OFF your first in-app purchase! Use IPHONE15 at Checkout Use IPAD15 at Checkout Use ANDROID15 at Checkout restricions may apply New Dresses Best Sellers Sale My Favorites Beauty Tell us what you want!UPDATE YOUR PREFERENCES Have email content suggestions?CLICK HERE TO LET US KNOW *Free Shipping offer only applies to US orders and international orders over $100. Other restrictions may apply. More information You are subscribed as REDACTED+songofstyle@gmail.com Manage your Email Preferences Unsubscribe Contact Us Privacy Policy © Eminent, Inc. All Rights Reserved • 12889 Moore Street, Cerritos, CA 90703 USA",1,1
